127.0.0.1 - - [18/May/2026:08:09:15 +0545] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [18/May/2026:08:09:48 +0545] "GET /uniquebooks/login HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [18/May/2026:08:09:56 +0545] "POST /uniquebooks/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:09:56 +0545] "GET /uniquebooks/admin/dashboard HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [18/May/2026:08:10:29 +0545] "POST /uniquebooks/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:10:30 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:19 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:19 +0545] "GET /uniquebooks/static/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:24 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:26 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:26 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:27 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:31 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:33 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:34 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:34 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:36 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:38 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:39 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:39 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:40 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:43 +0545] "POST /uniquebooks/checkout HTTP/1.1" 200 3412
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:55 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [18/May/2026:08:11:57 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:00 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:02 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:02 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:03 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:09 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:09 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:11 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11364
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:13 +0545] "POST /uniquebooks/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:13 +0545] "GET /uniquebooks/product HTTP/1.1" 200 16715
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:15 +0545] "GET /uniquebooks/cart HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [18/May/2026:08:12:32 +0545] "POST /uniquebooks/checkout HTTP/1.1" 200 3412
